date,new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,population,cases_per_million,deaths_per_million,tests_per_million
2020-05-09,1327.0,243.0,36091.0,217185.0,30201.0,709766.0,60461828.0,3592.1011187422255,499.5052415550519,499.5052415550519
2020-05-10,1083.0,194.0,31384.0,218268.0,30395.0,741150.0,60461828.0,3610.013246705012,502.7138775890137,502.7138775890137
2020-05-11,802.0,165.0,25823.0,219070.0,30560.0,766973.0,60461828.0,3623.277814226854,505.44287215398117,505.44287215398117
2020-05-12,744.0,179.0,39620.0,219814.0,30739.0,806593.0,60461828.0,3635.5830988107073,508.40341777294594,508.40341777294594
2020-05-13,1402.0,172.0,37049.0,221216.0,30911.0,843642.0,60461828.0,3658.7712829324314,511.24818786491204,511.24818786491204
2020-05-14,888.0,195.0,41131.0,222104.0,31106.0,884773.0,60461828.0,3673.4582355002563,514.4733632598736,514.4733632598736
2020-05-15,992.0,262.0,39027.0,223096.0,31368.0,923800.0,60461828.0,3689.865281612061,518.8066758418221,518.8066758418221
2020-05-16,789.0,242.0,40657.0,223885.0,31610.0,964457.0,60461828.0,3702.9148374409056,522.8092012037744,522.8092012037744
2020-05-17,875.0,153.0,33505.0,224760.0,31763.0,997962.0,60461828.0,3717.3867783157334,525.3397234367443,525.3397234367443
2020-05-18,675.0,145.0,26101.0,225435.0,31908.0,1024063.0,60461828.0,3728.5508469906003,527.7379307817157,527.7379307817157
2020-05-19,451.0,99.0,40226.0,225886.0,32007.0,1064289.0,60461828.0,3736.0100988015115,529.3753275206961,529.3753275206961
2020-05-20,813.0,162.0,38617.0,226699.0,32169.0,1102906.0,60461828.0,3749.4565992943517,532.0547040026643,532.0547040026643
2020-05-21,665.0,161.0,40644.0,227364.0,32330.0,1143550.0,60461828.0,3760.4552743592203,534.7175411236326,534.7175411236326
2020-05-22,642.0,156.0,42987.0,228006.0,32486.0,1186537.0,60461828.0,3771.073544121094,537.2976814396019,537.2976814396019
2020-05-23,652.0,130.0,42579.0,228658.0,32616.0,1229116.0,60461828.0,3781.8572074929657,539.4477983695763,539.4477983695763
2020-05-24,669.0,119.0,34206.0,229327.0,32735.0,1263322.0,60461828.0,3792.922040001834,541.4159823285528,541.4159823285528
2020-05-25,531.0,50.0,20676.0,229858.0,32785.0,1283998.0,60461828.0,3801.7044406927293,542.242950378543,542.242950378543
2020-05-26,300.0,92.0,33944.0,230158.0,32877.0,1317942.0,60461828.0,3806.6662489926703,543.7645715905248,543.7645715905248
2020-05-27,397.0,78.0,37299.0,230555.0,32955.0,1355241.0,60461828.0,3813.232375309592,545.0546417485095,545.0546417485095
2020-05-28,584.0,117.0,39838.0,231139.0,33072.0,1395079.0,60461828.0,3822.891362133477,546.9897469854865,546.9897469854865
2020-05-29,593.0,70.0,38233.0,231732.0,33142.0,1433312.0,60461828.0,3832.6992032063604,548.1475022554727,548.1475022554727
2020-05-30,516.0,87.0,36051.0,232248.0,33229.0,1469363.0,60461828.0,3841.233513482259,549.5864266624556,549.5864266624556
2020-05-31,416.0,111.0,28948.0,232664.0,33340.0,1498311.0,60461828.0,3848.1138876581767,551.4222957334337,551.4222957334337
2020-06-01,355.0,75.0,18053.0,233019.0,33415.0,1516364.0,60461828.0,3853.9853608131066,552.6627478084189,552.6627478084189
2020-06-02,178.0,60.0,25628.0,233197.0,33475.0,1541992.0,60461828.0,3856.9293670710717,553.6551094684071,553.6551094684071
2020-06-03,318.0,55.0,20035.0,233515.0,33530.0,1562027.0,60461828.0,3862.1888838690093,554.5647743233963,554.5647743233963
2020-06-04,321.0,71.0,27451.0,233836.0,33601.0,1589478.0,60461828.0,3867.498018749946,555.7390689543822,555.7390689543822
2020-06-05,177.0,88.0,40470.0,234013.0,33689.0,1629948.0,60461828.0,3870.425485646911,557.1945327223649,557.1945327223649
2020-06-06,518.0,85.0,34036.0,234531.0,33774.0,1663984.0,60461828.0,3878.992874644809,558.6003784073482,558.6003784073482
2020-06-07,270.0,72.0,27894.0,234801.0,33846.0,1691878.0,60461828.0,3883.458502114756,559.791212399334,559.791212399334
2020-06-08,197.0,53.0,16301.0,234998.0,33899.0,1708179.0,60461828.0,3886.7167562317168,560.6677985323236,560.6677985323236
2020-06-09,280.0,65.0,32200.0,235278.0,33964.0,1740379.0,60461828.0,3891.347777311662,561.7428569973108,561.7428569973108
2020-06-10,283.0,79.0,37865.0,235561.0,34043.0,1778244.0,60461828.0,3896.0284164746063,563.0494665162952,563.0494665162952
2020-06-11,202.0,71.0,32991.0,235763.0,34114.0,1811235.0,60461828.0,3899.3693673965663,564.2237611472813,564.2237611472813
2020-06-12,379.0,53.0,37651.0,236142.0,34167.0,1848886.0,60461828.0,3905.6377852154915,565.1003472802707,565.1003472802707
2020-06-13,163.0,56.0,32880.0,236305.0,34223.0,1881766.0,60461828.0,3908.3337010584596,566.0265514962598,566.0265514962598
2020-06-14,346.0,78.0,29545.0,236651.0,34301.0,1911311.0,60461828.0,3914.0563199643916,567.3166216542444,567.3166216542444
2020-06-15,338.0,44.0,17463.0,236989.0,34345.0,1928774.0,60461828.0,3919.646623982325,568.0443535382358,568.0443535382358
2020-06-16,301.0,26.0,27762.0,237290.0,34371.0,1956536.0,60461828.0,3924.624971643266,568.4743769242306,568.4743769242306
2020-06-17,210.0,34.0,33957.0,237500.0,34405.0,1990493.0,60461828.0,3928.098237453224,569.0367151982239,569.0367151982239
2020-06-18,328.0,43.0,32921.0,237828.0,34448.0,2023414.0,60461828.0,3933.5231478611595,569.7479077212155,569.7479077212155
2020-06-19,331.0,66.0,28570.0,238159.0,34514.0,2051984.0,60461828.0,3938.9976763520945,570.8395055472024,570.8395055472024
2020-06-20,297.5,47.0,29875.0,238456.5,34561.0,2081859.0,60461828.0,3943.918136249536,571.6168555141932,571.6168555141932
2020-06-21,264.0,49.0,24581.0,238720.5,34610.0,2106440.0,60461828.0,3948.2845275534837,572.4272842031835,572.4272842031835
2020-06-22,224.0,24.0,16152.0,238944.5,34634.0,2122592.0,60461828.0,3951.9893444174395,572.8242288671788,572.8242288671788
2020-06-23,221.0,23.0,23225.0,239165.5,34657.0,2145817.0,60461828.0,3955.644543198396,573.2046341701742,573.2046341701742
2020-06-24,113.0,18.0,30237.0,239278.5,34675.0,2176054.0,60461828.0,3957.513490991374,573.5023426681707,573.5023426681707
2020-06-25,577.0,-31.0,29421.0,239855.5,34644.0,2205475.0,60461828.0,3967.05670228826,572.9896224771768,572.9896224771768
